@Default:LikesByArtist
@UpdateSort
# a playlist for all the completely incidental cool stuff I found while trimming down those female fronted black metal lists

4JLZJ6s7YH3yiwFmi6uZgf #  Pyrrah
4lh7iXXlN3TZeH1SItpFYb #  Black Table
4M67zbSOEDuf91SYlrd7ek #  Frangly
4NWg4g7MdfWaxmFTVjFvG7 #  Redox
4oHYGd3e91HmuItxci2oh1 #  Covenant
4OxGO3DRk9HrwlOUG64gpt #  Adore
4PdWhVbc6dPIo9amL0jVvV #  Bovary
4pINd1gsmHkqbvuNDwrs2q #  Nyx
4pmhXI28rsmNVhvrXh4Sj2 #  Detest
4Pw3p66i06iOmtVtEE0U7F #  Deathonate
4Qxmyr0HGQhz6z7en47W4a #  Covenant
4RNKRRN5FAqraESTWW9V87 #  Xolotl
4rvGDBdgNX1TOQF2djvZuV #  Md
4S4sxnI0Kad5rACzgimKn6 #  주상균
4s9HJ2zLde7mncs78ye0Ez #  Dask
4Vlmuk0gE3Zp7KnoN3QQfd #  Nictofilia
4wMkHInfNwMjJFVOMsAaE2 #  Rage Hoover
4wqxGet1SbDDfvatvOTOsk #  Krang
4xS1C9pM9EoHEM1Gxxzf4m #  ABTB
4z5vGKQkF8igK1HOvTA2uL #  Nyx
4zBdZhUzinlpeUerys6vy6 #  Sigh
4zwXHIRJTN8R159sWQTo5m #  Tsarina
503jMzlAxbEpfltywmU45E #  SOE
514ZFQ1wcW8PCPq4FTzBJY #  Sigh
55szUXqPj531x961fTZEMB #  Hardsounds
5CK0GUy6VBZ72CI7jkdixy #  Violet Moon
5dEDf5l1Nz5k7zapz0jLBz #  Afterlife
5DuNIESULPBI2Tr1ENFMIR #  Macbeth
5E61OnYiCe8b4XBnPmjAkr #  Mister Dex
5eahdXWKqyfeSrfJhK5n5r #  Draconic
5IS8IdBZd7qOWwuHhH0P3G #  Morak
5KNHG3W7zYkLxTOzLwfL8Z #  Grammo
5kprXLL3gR3GifRFg7CeUz #  DRYAD
5MDdAC5nfnmiXNDxKeU2Eg #  Moonglade
5mzQQFMsTBUqRM3mG5SMCD #  Nyx
5NdT3wporBV93QxoOyNRpO #  Frostbite
5ofAqkUU7OQJgOgN7DpjyP #  Cernunnos
5OzzR6tnKcNW0DwfwGtl87 #  Hexer
5qSEyXASarYcmusWDpPo81 #  KRANG
5sQOcPEkIvztjRIDrjVLEe #  Valkyrie
5Tm4ZUUwuNHUvNiljEx8cX #  Craven
5vqCdSabqzPOTPvsuZKkc9 #  Flowtec
5WSfF96ZBsAxxs2CXhX3p9 #  Jellil do Rego
5XkvjaKECp4f3LUT2EJX4D #  MALLY
5Xoi8eqgs2EPlOWYpEWQHU #  Nema
5yOpyy8jX6SR06H80Esect #  Zuy
5zuj50qAKsoooIkQbdXVnJ #  Queen Coakley
60xN7p4nsgZ8VaN677PBch #  MARS MANTRA
63UWoMbk1CQ5Yk2O5bChVV #  Ghvst
640rRSFY5H9V6hnS0JAVb1 #  Hawthorn
661471zR96CJGBs7sViYvL #  Dismal
66i2eh5j3xoAWl7gfKD9G6 #  Fanatic
66SRGSUWA26P7hEIEodl9w #  Adore
67lVupLilpkPx6iW5PQ0pY #  Mari Froes
68foNfXkscvR8qkzoUmfYS #  Dask
69nMDWnVXYjgqJRpRiWy7g #  Taufique Muzic
6b44cOAKLus6apxNDAOIFc #  Suicide Forest
6CVYtrpTqSmAwSrl0NxD9f #  Dismal
6DC6EhWgLdypIw5y8mIAbu #  Aureal
6emLva0MhgKhAuQ4rgLoBG #  Evol
6fB34AF855g3nh8P2zuhy3 #  Joyless
6FCtHC5drxw1GRHNQ2Nyt2 #  Frostbite
6GFS6sKpp1MvR11dvtVhWa #  Jamie Carriere
6jd5B6x28bxLJFROhQ0jgu #  Sinister
6JpBhMV3vBJclXkD9cObHd #  Providence
6JWrNB3ufB6QvsV0Qeah2O #  Kim Sounghun
6NlNcCpYc2adrM6qMwbwLj #  Zelada
6Oea8iw8kd4z4fUOAMPP4m #  Bovary
6OhpU7O2A3Y8NuUIKVfMVJ #  2AM
6QYKwJCNw8TOagS6hWKu0T #  Hawthorn
6RbgY5OdhFZ0qPGg9sieSi #  Nema
6rJPCPv9Nf0AeCFYCDNTZd #  Sinister
6RP1K1wkZspPke5e7QohWv #  Neve
6s4vwEPGtL6GSmedKlGpDa #  Covenant
6s4y7vGdL4UrREsrmz9Oy2 #  Sinister
6T4bHeSo6IlGF6vmN1ilxh #  Suicide Forest
6tM1Ee7vvwLgBQIGbmWoEd #  Sinergy
6XkvaMSDLYcjkSNZF9Gaah #  Bleeder
6y6YA3Ij3pOn5YkARZ9FIv #  somnus
6Ya7KScLBrUodVY4dBhtnB #  Xolotl
6YKZEfMscxXcqk2iRT9Bhg #  Bonfire
6zn0izHq6hShiK9H6jID17 #  Motormouth Recordz
72F3UYArsYBNSxKIX0YHIC #  Gabby Perkins
73p1Bqqjs3uimqHv8BCthF #  WINGED
76GRn2M9W4B8qoIuL9pL80 #  Sigh
77LWQfycyAtBuKgn1kGPbm #  HeXer
78dLjSk68xKtmmeUZdJiCs #  Nictofilia
79RibUw84EdTyKkYKB4vLi #  James Hall
7aiIIPZtSgcrmdTRXQJK2c #  Mercy Brown
7C3Uj0rtqLeiNwAmTeO5Ky #  The Witch
7cACKxZylpfVGqoM83tmto #  PRETTY TDH
7ChWed72SVaNKJYzZkwcAA #  Aherusia
7ckh13u6RiY2FJdio0A2xE #  Hecate
7d4RdAHMHYrZ0csleutTla #  HEXER
7DcpDiMLwYnC2coVzFH9Ph #  Ethereal
7hLu3c1aJqdqemTqD0afwC #  Providence
7kNk0SkIrksxVblb60XNMA #  Elathan
7LeHdLOuiySZgt7ewdckbX #  Afterlife
7MubbTDLkJ8bVQtfbdLit3 #  Valkyrie
7nrje6RDLUpfKMIzuPIVNG #  KRANG
7nU8MC37CC7UsWktxyaFrp #  Dismal
7pIPTBQ4ZbWg9RjV8s7NlQ #  REDOX
7sX10yz8KkNhuXboDu6m3r #  Panta Ray
7tDWhwmYL0iTl4lA04jtw1 #  Mythic
7xToGDUNHq1ioqbyP3ckMf #  Naven
7y1hV1CxVdcfMjAjMS25OE #  Covenant
7y3k78OCkHP2c26mY1P43a #  Krang
